site_name,latitude,longitude,site_type,population,state,source_sheet
face to face,10.24191,12.93195,Returnees,Returnees,Adamawa,Data
face to face,10.23325,12.9208,Returnees,Returnees,Adamawa,Data
face to face,10.187233,13.048791,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.128334,13.079358,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.14449,13.02419,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.14473,13.07754,Returnees,Returnees,Adamawa,Data
face to face,10.14869,13.07062,Returnees,Returnees,Adamawa,Data
face to face,10.14499,13.07419,Returnees,Returnees,Adamawa,Data
face to face,10.11108,13.05622,Returnees,Returnees,Adamawa,Data
face to face,10.31386,13.15927,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.31896,13.16871,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.30647,13.1735,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.35548,13.16414,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.3548,13.16416,Returnees,Returnees,Adamawa,Data
face to face,10.3189,13.15873,Returnees,Returnees,Adamawa,Data
face to face,10.32697,13.1737,Returnees,Returnees,Adamawa,Data
face to face,10.31322,13.15855,Returnees,Returnees,Adamawa,Data
face to face,10.24081,13.15759,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.27246,13.1679,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.31125,13.16262,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.22795,13.17734,Returnees,Returnees,Adamawa,Data
face to face,10.27248,13.168,Returnees,Returnees,Adamawa,Data
face to face,10.24083,13.1576,Returnees,Returnees,Adamawa,Data
face to face,10.23401,12.93592,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.24832,12.95024,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.23342,12.93595,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.29851,12.88705,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
remotely  phone call,10.23403,12.93594,Returnees,Returnees,Adamawa,Data
face to face,10.24834,12.93024,Returnees,Returnees,Adamawa,Data
face to face,10.29853,12.88707,Returnees,Returnees,Adamawa,Data
face to face,10.23753,12.95221,Returnees,Returnees,Adamawa,Data
face to face,10.14703,12.92642,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.175599,12.920138,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.22755,12.92884,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.22425,12.92225,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.22428,12.92275,Returnees,Returnees,Adamawa,Data
face to face,10.14705,12.92697,Returnees,Returnees,Adamawa,Data
face to face,10.22757,12.92864,Returnees,Returnees,Adamawa,Data
face to face,10.45322,13.22203,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.44849,13.22319,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.45002,13.2224,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.45372,13.22285,Returnees,Returnees,Adamawa,Data
face to face,10.44851,13.2232,Returnees,Returnees,Adamawa,Data
face to face,10.45004,13.2226,Returnees,Returnees,Adamawa,Data
face to face,8.75148,12.15388,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.75301,12.15117,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.75239,12.14779,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.75489,12.15578,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.75447,12.1554,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.75411,12.1571,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.76006,12.56553,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.75965,12.56646,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.8074,12.62597,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.80746,12.62546,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.62754,12.43561,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,8.57151,12.37885,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.56546,11.87686,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.56542,11.87697,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.56805,11.88878,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.5426,11.9475,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.56807,11.8888,Returnees,Returnees,Adamawa,Data
face to face,9.54229,11.94739,Returnees,Returnees,Adamawa,Data
face to face,9.65066,11.82022,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.65064,11.82037,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.65062,11.8202,Returnees,Returnees,Adamawa,Data
face to face,9.65065,11.82038,Returnees,Returnees,Adamawa,Data
face to face,9.60546,11.7897,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.60631,11.79649,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.6114,11.89121,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.65012,11.82357,Returnees,Returnees,Adamawa,Data
face to face,9.60629,11.79659,Returnees,Returnees,Adamawa,Data
face to face,9.50691,11.73453,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.51879,11.80065,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.51362,11.76888,Returnees,Returnees,Adamawa,Data
face to face,9.51971,11.8024,Returnees,Returnees,Adamawa,Data
face to face,9.50861,11.91061,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.51143,11.9326,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.50956,11.92556,Returnees,Returnees,Adamawa,Data
face to face,9.51032,11.93188,Returnees,Returnees,Adamawa,Data
face to face,9.57265,11.76925,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.543,11.69021,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.50876,11.64496,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,9.5432,11.69024,Returnees,Returnees,Adamawa,Data
face to face,9.50662,11.64457,Returnees,Returnees,Adamawa,Data
face to face,10.8621,13.6129,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.86215,13.50344,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.8157,13.60542,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.8868,13.61329,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.8474,13.6297,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.8624,13.613,Returnees,Returnees,Adamawa,Data
face to face,10.86015,13.50347,Returnees,Returnees,Adamawa,Data
face to face,10.8154,13.60545,Returnees,Returnees,Adamawa,Data
face to face,10.8744,13.6132,Returnees,Returnees,Adamawa,Data
face to face,10.8492,13.6294,Returnees,Returnees,Adamawa,Data
face to face,10.706948,13.441589,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.69698,13.45115,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.74597,13.41723,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.78742,13.43881,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.78744,13.43882,Returnees,Returnees,Adamawa,Data
face to face,10.70588,13.44864,Returnees,Returnees,Adamawa,Data
face to face,10.768783,13.383457,Returnees,Returnees,Adamawa,Data
face to face,10.74537,13.41695,Returnees,Returnees,Adamawa,Data
face to face,10.80424,13.45349,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.80446,13.46029,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.80178,13.45858,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.81136,13.46391,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
face to face,10.84419,13.48246,IDPs,IDPs dispersed in Host Communities,Adamawa,Data
