name,latitude,longitude,type
The Calvary Institute Of Technology,6.428507,7.478696,school
Concil Obiagu Primary School,6.433360,7.497057,school
Grace International School,6.442223,7.497481,school
Naowa Group Of Schools,6.462466,7.513008,school
El-Shaddai International Schools,6.481112,7.525955,school
Carmel Nursery & Primary School,6.467566,7.504813,school
Abbot Dayspring School,6.599935,3.233055,school
Parkview Montessori School Enugu,6.459205,7.494089,school
Jinie Schools,10.471467,7.429835,school
St. Theresa Primary School Amainyi,5.583057,7.388789,school
Amainyi High School Amainyi,5.595096,7.386261,school
Kayalwa Primary School,12.995228,7.609107,school
Dutsin-Amare Primary School,12.990730,7.610405,school
Kofar Marusa Primary School,12.988179,7.612618,school
Kiddies International Primary School,12.985939,7.618262,school
Garama Primary School,12.984344,7.604200,school
UPE Primary School,12.980346,7.608982,school
Layout Primary School,12.980603,7.618837,school
Methodist Grammer School,7.429247,3.912135,school
Subola Memorial School,7.402969,3.910961,school
Methodist School II,7.420391,3.913552,school
Oritamefa Baptist Model School,7.397554,3.907753,school
Methodist Primary School,7.436509,3.910550,school
Lead City High School,7.399067,3.862587,school
Urban Day School,7.399520,3.868336,school
St. Joseph's Primary School,6.497920,8.551832,school
Madarasatu Amina Islamiyya Primary School,12.027281,8.551032,school
Fgc A,11.948900,8.560840,school
Genius Children School,7.359621,3.912172,school
Miracle International School,7.342585,3.906529,school
Sacred Heart Private School,7.393336,3.878014,school
,7.375604,3.898106,school
,7.378050,3.903095,school
Ebenezer African Church School,7.392039,3.887268,school
,11.682285,10.193812,school
,11.682192,10.192463,school
,9.066179,7.476082,school
Baptist Girls High School,7.768635,4.544672,school
Oke Moyo Baptist Primary School,7.896011,4.320020,school
Madrasatu Tarbiyyatul Awladul Muslimin,10.530646,7.403679,school
Federal College of Agriculture,7.269388,5.206451,school
Fiwasaye Grammar School,7.255425,5.196752,school
Educational Advancement Centre,7.418197,3.900939,school
Iclass Tuition,7.424855,3.921772,school
B & B Nursery and Primary School,7.431116,3.941929,school
Knowledge Base International Kiddies Embassy,7.526516,3.924482,school
Titbun High School,7.524981,3.923389,school
J Nissi College,7.438654,3.960794,school
,7.829049,4.340266,school
Ataoja School of Science,7.748670,4.516570,school
Governor's College,11.990424,8.532391,school
Adda Secondary School,11.966640,8.531887,school
