name,latitude,longitude,type
"Peak Foundation school","6.3395904","5.6263293","school"
"Dynanic Schools","6.3517235","5.6186107","school"
"Ihogbe College","6.3505322","5.6172599","school"
"Solid Foundation School","6.3373732","5.6190063","school"
"Emokpac Primary School","6.3395666","5.6247174","school"
"Fabiye Apatha Primary School","6.3459615","5.6240481","school"
"Gius Obaseki Group of Schools","6.3463443","5.6289634","school"
"St. Peters Anglican Daycare Nursry/Primary School","6.3441466","5.6225311","school"
"United Baptist Grammar School","6.3401686","5.6241716","school"
"Word of God Group of Schools","6.3416139","5.6242741","school"
"Ivbiore Primary School","6.3434351","5.6134909","school"
"Ore-Oghene Primary School","6.3456200","5.6139076","school"
"All Saints Ekulu Nursery & Primary School","6.4540700","7.4846220","school"
"Cocci International Secondary School","6.4830710","7.5144900","school"
"Fountain Comprehensive College","6.4769990","7.5069130","school"
"Goddip Nursery, Primary & Secondary School","6.4792550","7.5117080","school"
"Good Hope Stars Schools","6.4659150","7.4958310","school"
"Holy Child Nursery & Primary","6.4812270","7.5091400","school"
"Housing Estate Primary School","6.4811740","7.5178940","school"
"Magnet Nursery & Primary School","6.4613810","7.4995580","school"
"Prima Schools","6.4698300","7.5041870","school"
"River Side Nursery & Primary School","6.4804150","7.5207340","school"
"St Leo The Great Nursery & Primary School","6.4800210","7.5078360","school"
"Sunshine Crèche","6.4473950","7.4884150","school"
"Trans Ekulu Girls Secondary School","6.4766490","7.5018280","school"
"Trans Ekulu Primary School","6.4762499","7.4953810","school"
"Winsophia Child Friendly","6.4829940","7.5224500","school"
"Greater Tomorrow International School (Nur & Pri)","6.4134409","7.4961329","school"
"May Blossom High School","6.4136620","7.5024340","school"
"Anndy Model School","6.4137590","7.4935590","school"
"Madonna Daycare Center","6.4177460","7.4910490","school"
"Happy Time Crèche, Nursery & Primary School","6.4194810","7.4923460","school"
"Baptist High School","6.4215590","7.4922550","school"
"Sacred Heart Primary & Secondary School","6.4219910","7.4890370","school"
"Government Secondary School For The Deaf","6.4243890","7.4764170","school"
"International Institute For Entrepreneurship & Development","6.4246580","7.4897730","school"
"Ogbete River Primary School","6.4312920","7.4791290","school"
"City Primary School","6.4316510","7.4772040","school"
"The Calvary Institute Of Technology","6.4285068","7.4786957","school"
"Concil Obiagu Primary School","6.4333600","7.4970571","school"
"Grace International School","6.4422230","7.4974810","school"
"Naowa Group Of Schools","6.4624660","7.5130080","school"
"El-Shaddai International Schools","6.4811120","7.5259550","school"
"Carmel Nursery & Primary School","6.4675660","7.5048130","school"
"Abbot Dayspring School","6.5999355","3.2330552","school"
"Parkview Montessori School Enugu","6.4592052","7.4940894","school"
"Jinie Schools","10.4714673","7.4298348","school"
"St. Theresa Primary School Amainyi","5.5830568","7.3887890","school"
"Amainyi High School Amainyi","5.5950961","7.3862610","school"
"Kayalwa Primary School","12.9952277","7.6091069","school"
"Dutsin-Amare Primary School","12.9907302","7.6104055","school"
"Kofar Marusa Primary School","12.9881792","7.6126182","school"
"Kiddies International Primary School","12.9859393","7.6182616","school"
"Garama Primary School","12.9843440","7.6041997","school"
"UPE Primary School","12.9803465","7.6089822","school"
"Layout Primary School","12.9806031","7.6188371","school"
"Methodist Grammer School","7.4292471","3.9121352","school"
"Subola Memorial School","7.4029694","3.9109608","school"
"Methodist School II","7.4203911","3.9135518","school"
"Oritamefa Baptist Model School","7.3975540","3.9077529","school"
"Methodist Primary School","7.4365092","3.9105497","school"
"Lead City High School","7.3990673","3.8625867","school"
"Urban Day School","7.3995199","3.8683363","school"
"St. Joseph's Primary School","6.4979197","8.5518318","school"
"Madarasatu Amina Islamiyya Primary School","12.0272812","8.5510320","school"
"Fgc A","11.9489000","8.5608400","school"
"Genius Children School","7.3596209","3.9121718","school"
"Miracle International School","7.3425847","3.9065292","school"
"Sacred Heart Private School","7.3933360","3.8780142","school"
"","7.3756043","3.8981063","school"
"","7.3780503","3.9030953","school"
"Ebenezer African Church School","7.3920393","3.8872685","school"
"","11.6822854","10.1938123","school"
"","11.6821919","10.1924629","school"
"","9.0661790","7.4760821","school"
"Baptist Girls High School","7.7686348","4.5446725","school"
"Oke Moyo Baptist Primary School","7.8960114","4.3200203","school"
"Madrasatu Tarbiyyatul Awladul Muslimin","10.5306460","7.4036788","school"
"Federal College of Agriculture","7.2693880","5.2064510","school"
"Fiwasaye Grammar School","7.2554247","5.1967521","school"
"Educational Advancement Centre","7.4181966","3.9009386","school"
"Iclass Tuition","7.4248545","3.9217724","school"
"B & B Nursery and Primary School","7.4311165","3.9419286","school"
"Knowledge Base International Kiddies Embassy","7.5265159","3.9244815","school"
"Titbun High School","7.5249811","3.9233886","school"
"J Nissi College","7.4386537","3.9607938","school"
"","7.8290493","4.3402658","school"
"Ataoja School of Science","7.7486703","4.5165695","school"
"Governor's College","11.9904243","8.5323907","school"
"Adda Secondary School","11.9666403","8.5318874","school"
"Ado Gwaram Secondary School","11.9675575","8.5315573","school"
"Oke Okanla Baptist Primary School","7.7674812","4.5526194","school"
"Hassan Gwarzo School","11.9493769","8.5398573","school"
"St Louis Secondary School Bompai","12.0192539","8.5628833","school"
"","10.1675759","13.2262499","school"
"","10.1728570","13.1873958","school"
"","7.8774478","4.3447770","school"
"","7.7146111","4.4889517","school"
"Great-Elsaadai Schools","7.7173884","4.4898376","school"
"Linkfield Int'l School","5.4831910","7.0121211","school"
"Kingdom Heritage Schools","5.4824733","7.0133227","school"
"Mbaise Secondary School, Aboh Mbaise, Imo State","5.4760016","7.2692961","school"
